url,title,publish_date,author,region,themes,excerpt,tags
https://anastasiavekshina.github.io/historySite/#article-1,Камчатка: Как местные жители встречают рассвет у вулканов,2026-01-15,Анна Петрова,Камчатка,"Природа, Традиции",,"Камчатка, Природа, Традиции"
https://anastasiavekshina.github.io/historySite/#article-2,Владивосток: Где попробовать настоящие морские гребешки,2026-01-22,Дмитрий Соколов,Владивосток,"Еда, Рестораны",,"Владивосток, Еда, Рестораны"
https://anastasiavekshina.github.io/historySite/#article-3,Якутия: Фестиваль холода — как 50 градусов ниже нуля стали праздником,2026-02-03,Елена Николаева,Якутия,"Фестивали, Культура",,"Якутия, Фестивали, Культура"
https://anastasiavekshina.github.io/historySite/#article-4,Сахалин: Почему местные рыбаки встают в 4 утра и что они ловят,2026-02-14,Анна Петрова,Сахалин,"Рыбалка, Быт",,"Сахалин, Рыбалка, Быт"
https://anastasiavekshina.github.io/historySite/#article-5,Хабаровск: Как город меняет облик к приезду туристов из Азии,2026-02-28,Михаил Иванов,Хабаровск,"Туризм, Город",,"Хабаровск, Туризм, Город"
https://anastasiavekshina.github.io/historySite/#article-6,Амурская область: Космодром Восточный и как он влияет на жизнь соседних посёлков,2026-03-10,Дмитрий Соколов,Амурская область,"Космос, Инфраструктура",,"Амурская область, Космос, Инфраструктура"
https://anastasiavekshina.github.io/historySite/#article-7,Магадан: Золотая лихорадка 2.0 — как молодые предприниматели развивают регион,2026-03-18,Елена Николаева,Магадан,"Бизнес, Молодёжь",,"Магадан, Бизнес, Молодёжь"
https://anastasiavekshina.github.io/historySite/#article-8,Приморье: Где в тайге можно увидеть амурского тигра и не испугаться,2026-03-25,Анна Петрова,Приморье,"Экотуризм, Тигры",,"Приморье, Экотуризм, Тигры"
https://anastasiavekshina.github.io/historySite/#article-9,Чукотка: Как китобои сохраняют традиции и адаптируются к современности,2026-04-02,Михаил Иванов,Чукотка,"Традиции, Коренные народы",,"Чукотка, Традиции, Коренные народы"
https://anastasiavekshina.github.io/historySite/#article-10,Еврейская АО: Фестиваль еврейской кухни на берегах Амура,2026-04-12,Дмитрий Соколов,Еврейская АО,"Еда, Фестивали",,"Еврейская АО, Еда, Фестивали"
https://anastasiavekshina.github.io/historySite/#article-11,Камчатка: Сёрфинг в Тихом океане — почему экстремалы едут на край света,2026-04-20,Елена Николаева,Камчатка,"Спорт, Океан",,"Камчатка, Спорт, Океан"
https://anastasiavekshina.github.io/historySite/#article-12,Владивосток: Как местные художники превращают серые дворы в арт-объекты,2026-04-28,Анна Петрова,Владивосток,"Искусство, Город",,"Владивосток, Искусство, Город"
https://anastasiavekshina.github.io/historySite/#article-13,Сахалин: Почему островитяне коллекционируют морское стекло и где его искать,2026-05-05,Михаил Иванов,Сахалин,"Хобби, Природа",,"Сахалин, Хобби, Природа"
https://anastasiavekshina.github.io/historySite/#article-14,Якутия: Алмазная столица — как в Мирном сочетают добычу и экологию,2026-05-15,Дмитрий Соколов,Якутия,"Промышленность, Экология",,"Якутия, Промышленность, Экология"
https://anastasiavekshina.github.io/historySite/#article-15,Хабаровск: Где в городе можно услышать живую музыку от местных групп,2026-05-22,Елена Николаева,Хабаровск,"Музыка, Развлечения",,"Хабаровск, Музыка, Развлечения"
https://anastasiavekshina.github.io/historySite/#article-16,Амурская область: Как в Благовещенске празднуют границу с Китаем,2026-06-01,Анна Петрова,Амурская область,"Культура, Международное",,"Амурская область, Культура, Международное"
https://anastasiavekshina.github.io/historySite/#article-17,Приморье: Где попробовать настоящую корейскую кухню по-дальневосточному,2026-06-10,Михаил Иванов,Приморье,"Еда, Корейская кухня",,"Приморье, Еда, Корейская кухня"
https://anastasiavekshina.github.io/historySite/#article-18,Магадан: Почему местные фотографы снимают только в чёрно-белом,2026-06-18,Елена Николаева,Магадан,"Фотография, Искусство",,"Магадан, Фотография, Искусство"
